timestamp,acce_z
0,0.95
10,0.94
20,0.95
30,0.94
40,0.95
50,0.93
60,0.91
70,0.91
80,0.91
90,0.91
100,0.91
110,0.90
120,0.88
130,0.86
140,0.87
150,0.90
160,0.91
170,0.92
180,0.92
190,0.93
200,0.92
210,0.92
220,0.93
230,0.92
240,0.92
250,0.91
260,0.90
270,0.89
280,0.90
290,0.88
300,0.86
310,0.85
320,0.83
330,0.83
340,0.84
350,0.85
360,0.86
370,0.88
380,0.87
390,0.88
400,0.90
410,0.89
420,0.88
430,0.88
440,0.84
450,0.82
460,0.84
470,0.88
480,0.90
490,0.92
500,0.93
510,0.89
520,0.85
530,0.83
540,0.83
550,0.84
560,0.84
570,0.84
580,0.84
590,0.86
600,0.85
610,0.85
620,0.87
630,0.87
640,0.88
650,0.88
660,0.87
670,0.87
680,0.87
690,0.88
700,0.88
710,0.89
720,0.87
730,0.87
740,0.89
750,0.90
760,0.90
770,0.91
780,0.92
790,0.89
800,0.87
810,0.87
820,0.89
830,0.90
840,0.89
850,0.88
860,0.87
870,0.88
880,0.88
890,0.87
900,0.87
910,0.86
920,0.87
930,0.87
940,0.86
950,0.87
960,0.88
970,0.89
980,0.88
990,0.89
1000,0.87
1010,0.88
1020,0.87
1030,0.87
1040,0.88
1050,0.88
1060,0.88
1070,0.89
1080,0.89
1090,0.89
1100,0.89
1110,0.88
1120,0.89
1130,0.89
1140,0.89
1150,0.88
1160,0.86
1170,0.86
1180,0.85
1190,0.87
1200,0.87
1210,0.89
1220,0.91
1230,0.92
1240,0.91
1250,0.91
1260,0.90
1270,0.90
1280,0.89
1290,0.86
1300,0.86
1310,0.86
1320,0.85
1330,0.85
1340,0.86
1350,0.83
1360,0.82
1370,0.82
1380,0.81
1390,0.83
1400,0.87
1410,0.92
1420,0.95
1430,0.97
1440,0.99
1450,0.98
1460,0.98
1470,0.94
1480,0.90
1490,0.87
1500,0.85
1510,0.85
1520,0.87
1530,0.91
1540,0.94
1550,0.95
1560,0.93
1570,0.91
1580,0.90
1590,0.88
1600,0.89
1610,0.90
1620,0.89
1630,0.86
1640,0.85
1650,0.83
1660,0.83
1670,0.83
1680,0.82
1690,0.83
1700,0.84
1710,0.86
1720,0.89
1730,0.89
1740,0.89
1750,0.88
1760,0.86
1770,0.86
1780,0.83
1790,0.83
1800,0.84
1810,0.84
