timestamp,acce_z
0,0.92
10,0.92
20,0.92
30,0.92
40,0.92
50,0.92
60,0.92
70,0.91
80,0.92
90,0.91
100,0.91
110,0.92
120,0.91
130,0.92
140,0.92
150,0.92
160,0.91
170,0.92
180,0.92
190,0.92
200,0.91
210,0.92
220,0.93
230,0.92
240,0.92
250,0.91
260,0.92
270,0.92
280,0.92
290,0.92
300,0.92
310,0.92
320,0.92
330,0.92
340,0.92
350,0.91
360,0.92
370,0.92
380,0.91
390,0.91
400,0.93
410,0.92
420,0.92
430,0.91
440,0.91
450,0.91
460,0.91
470,0.92
480,0.92
490,0.93
500,0.92
510,0.92
520,1.14
530,0.77
540,1.01
550,1.65
560,1.15
570,0.82
580,0.92
590,1.26
600,0.86
610,0.87
620,0.80
630,1.02
640,0.82
650,0.87
660,0.97
670,0.98
680,0.88
690,0.93
700,0.84
710,0.92
720,0.87
730,0.93
740,0.87
750,0.96
760,0.92
770,0.93
780,0.90
790,0.90
800,0.91
810,0.94
820,0.89
830,0.88
840,0.92
850,0.90
860,0.92
870,0.95
880,0.93
890,0.96
900,0.85
910,0.95
920,0.88
930,0.88
940,0.91
950,0.90
960,0.97
970,0.88
980,0.91
990,0.90
1000,1.00
1010,1.35
1020,0.69
1030,1.10
1040,1.32
1050,0.78
1060,0.89
1070,1.07
1080,1.01
1090,1.02
1100,0.74
1110,1.06
1120,0.76
1130,0.86
1140,0.70
1150,0.97
1160,0.76
1170,0.97
1180,0.83
1190,0.93
1200,0.87
1210,0.92
1220,0.85
1230,0.90
1240,0.89
1250,0.92
1260,0.88
1270,0.95
1280,0.95
1290,0.90
1300,0.92
1310,0.92
1320,0.91
1330,0.92
1340,0.91
1350,0.97
1360,0.89
1370,0.99
1380,0.93
1390,0.95
1400,0.88
1410,0.89
1420,0.93
1430,0.89
1440,0.92
1450,0.90
1460,0.91
1470,0.94
1480,0.76
1490,1.32
1500,0.82
1510,1.04
1520,1.35
1530,0.89
1540,0.87
1550,1.08
1560,0.98
1570,1.04
1580,0.72
1590,1.09
1600,0.70
1610,0.87
1620,0.67
1630,0.93
1640,0.78
1650,0.95
1660,0.83
1670,0.92
1680,0.87
1690,0.98
1700,0.90
1710,0.92
1720,0.94
1730,0.93
1740,0.91
1750,0.90
1760,0.93
1770,0.91
1780,0.91
1790,0.91
1800,0.93
1810,0.92
1820,0.89
1830,0.94
1840,0.94
1850,0.86
1860,0.95
1870,1.00
1880,0.87
1890,0.89
1900,0.96
1910,0.89
1920,1.00
1930,0.84
1940,0.94
1950,0.92
1960,0.80
1970,1.30
1980,0.87
1990,1.32
2000,1.33
2010,0.84
2020,0.87
2030,0.96
2040,0.92
2050,1.03
2060,0.75
2070,1.05
2080,0.65
2090,0.89
2100,0.64
2110,0.95
2120,0.80
2130,0.96
2140,0.82
2150,0.89
2160,0.88
2170,0.99
2180,0.92
2190,0.89
2200,0.98
2210,0.92
2220,0.91
2230,0.93
2240,0.93
2250,0.90
2260,0.92
2270,0.92
2280,0.90
2290,0.97
2300,0.85
2310,0.99
2320,0.86
2330,0.92
2340,0.94
2350,0.95
2360,0.92
2370,0.88
2380,0.91
2390,0.90
2400,0.96
2410,0.91
2420,0.93
2430,0.91
2440,0.72
2450,1.44
2460,0.88
2470,1.37
2480,1.44
2490,0.82
2500,0.85
2510,1.06
2520,0.96
2530,0.89
2540,0.75
2550,1.18
2560,0.66
2570,0.95
2580,0.66
2590,0.95
2600,0.84
2610,0.98
2620,0.77
2630,0.93
2640,0.88
2650,0.98
2660,0.84
2670,0.93
2680,0.94
2690,0.94
2700,0.86
2710,0.96
2720,0.91
2730,0.98
2740,0.90
2750,0.90
2760,0.92
2770,0.92
2780,0.93
2790,0.95
2800,0.85
2810,0.94
2820,0.83
2830,0.96
2840,0.86
2850,0.77
2860,0.96
2870,0.87
2880,1.01
2890,0.91
2900,0.90
2910,0.92
2920,0.84
2930,1.53
2940,0.79
2950,1.30
2960,1.42
2970,0.77
2980,0.85
2990,0.97
3000,0.85
3010,0.91
3020,0.77
3030,1.16
3040,0.65
3050,0.93
3060,0.64
3070,0.98
3080,0.79
3090,0.96
3100,0.85
3110,0.93
3120,0.89
3130,1.00
3140,0.84
3150,0.99
3160,0.93
3170,0.85
3180,0.92
3190,0.94
3200,0.87
3210,0.92
3220,0.88
3230,0.92
3240,0.96
3250,0.94
3260,0.90
3270,0.94
3280,0.89
3290,0.93
3300,0.94
3310,0.92
3320,0.91
3330,0.91
3340,0.93
3350,0.91
3360,0.93
3370,0.90
3380,0.94
3390,0.92
3400,0.75
3410,1.48
3420,0.73
3430,1.20
3440,1.47
3450,0.81
3460,0.88
3470,1.01
3480,0.98
3490,0.95
3500,0.70
3510,1.20
3520,0.64
3530,0.94
3540,0.62
3550,0.94
3560,0.80
3570,0.97
3580,0.84
3590,0.96
3600,0.85
3610,0.99
3620,0.87
3630,0.91
3640,0.94
3650,0.92
3660,0.92
3670,0.93
3680,0.90
3690,0.94
3700,0.91
3710,0.93
3720,0.94
3730,0.95
3740,0.90
3750,0.96
3760,1.04
3770,0.81
3780,0.92
3790,0.96
3800,0.86
3810,0.96
3820,0.83
3830,1.00
3840,0.88
3850,0.94
3860,0.92
3870,0.98
3880,0.84
3890,1.29
3900,0.84
3910,1.23
3920,1.40
3930,0.85
3940,0.94
3951,1.26
3960,0.96
3970,0.85
3980,0.71
3990,1.22
4000,0.56
4010,0.95
4020,0.73
4030,0.89
4040,0.80
4050,0.93
4060,0.89
4071,0.93
4080,0.79
4090,1.00
4100,0.84
4110,0.97
4120,0.95
4130,0.89
4140,0.91
4150,0.98
4160,0.86
4170,1.00
4180,0.88
4190,0.92
4200,0.95
4210,0.86
4220,0.99
4230,0.83
4240,0.99
4250,0.88
4260,0.98
4270,0.89
4280,0.98
4290,0.93
4300,0.94
4310,0.91
4320,0.91
4330,0.94
4340,0.90
4350,0.94
4360,0.81
4370,1.13
4380,0.80
4390,1.19
4400,1.49
4410,0.77
4420,0.87
4430,1.24
4440,0.84
4450,0.83
4460,0.68
4470,1.18
4480,0.56
4490,0.90
4500,0.77
4510,0.94
4520,0.78
4530,0.96
4540,0.84
4550,0.89
4560,0.83
4570,0.94
4580,0.83
4590,0.94
4600,0.88
4610,0.96
4620,0.91
4630,0.96
4640,0.85
4650,0.95
4660,0.91
4670,0.91
4680,0.93
4690,0.96
4700,0.89
4710,0.91
4720,0.96
4730,1.01
4740,0.96
4750,0.91
4760,0.91
4770,0.89
4780,0.86
4790,0.92
4800,0.95
4810,0.95
4820,0.90
4830,0.90
4840,0.91
4850,1.32
4860,0.77
4870,1.11
4880,1.45
4890,0.81
4900,0.83
4910,1.18
4920,0.90
4930,0.91
4940,0.63
4950,1.02
4960,0.68
4970,0.90
4980,0.71
4990,1.00
5000,0.76
5010,0.98
5020,0.82
5030,0.96
5040,0.80
5050,0.91
5060,0.89
5070,0.92
5080,0.89
5090,0.88
5100,0.81
5110,1.00
5120,0.93
5130,0.96
5140,0.92
5150,0.88
5160,0.91
5170,0.93
5180,0.94
5190,0.94
5200,0.93
5210,0.99
5220,0.92
5230,0.95
5240,0.88
5250,0.87
5260,0.94
5270,0.91
5280,0.91
5290,0.92
5300,0.90
5310,0.92
5320,0.75
5330,1.37
5340,0.89
5350,1.15
5360,1.34
5370,0.86
5380,0.85
5390,1.16
5400,0.97
5410,0.89
5420,0.67
5430,1.02
5440,0.66
5450,0.90
5460,0.69
5470,1.00
5480,0.76
5490,0.93
5500,0.82
5510,0.93
5520,0.81
5530,0.96
5540,0.84
5550,0.92
5560,0.87
5570,0.97
5580,0.88
5590,0.90
5600,0.93
5610,0.88
5620,0.87
5630,0.99
5640,0.97
5650,0.89
5660,0.88
5670,0.91
5680,1.05
5690,0.74
5700,1.03
5710,0.86
5720,0.83
